  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000010E+01  -0.5906186E-04   0.1000010E+01  -0.1030834E-05
 0.2099800E+00   0.1000010E+01  -0.5906186E-04   0.1000010E+01  -0.1030834E-05
 0.4000000E+00   0.1000038E+01  -0.2239279E-03   0.1000038E+01  -0.3908426E-05
 0.6000000E+00   0.1000085E+01  -0.5234040E-03   0.1000085E+01  -0.9135902E-05
 0.8000000E+00   0.1000155E+01  -0.9839319E-03   0.1000155E+01  -0.1717551E-04
 0.1000000E+01   0.1000249E+01  -0.1652068E-02   0.1000249E+01  -0.2884120E-04
 0.1200000E+01   0.1000372E+01  -0.2601246E-02   0.1000372E+01  -0.4541721E-04
 0.1400000E+01   0.1000532E+01  -0.3949750E-02   0.1000532E+01  -0.6897283E-04
 0.1600000E+01   0.1000739E+01  -0.5895441E-02   0.1000739E+01  -0.1029709E-03
 0.1800000E+01   0.1001008E+01  -0.8787071E-02   0.1001008E+01  -0.1535179E-03
 0.2000000E+01   0.1001367E+01  -0.1328292E-01   0.1001367E+01  -0.2321476E-03
 0.2200000E+01   0.1001861E+01  -0.2074181E-01   0.1001861E+01  -0.3626868E-03
 0.2400000E+01   0.1002577E+01  -0.3432535E-01   0.1002577E+01  -0.6006345E-03
 0.2600000E+01   0.1003689E+01  -0.6272197E-01   0.1003689E+01  -0.1098743E-02
 0.2800000E+01   0.1005566E+01  -0.1362927E+00   0.1005563E+01  -0.2391994E-02
 0.3000000E+01   0.1008439E+01  -0.3994327E+00   0.1008414E+01  -0.7030187E-02
 0.3200000E+01   0.1000010E+01  -0.1060153E+01   0.9998386E+00  -0.1850228E-01
 0.3400000E+01   0.9905252E+00  -0.4740651E+00   0.9904913E+00  -0.8195510E-02
 0.3600000E+01   0.9925670E+00  -0.1760382E+00   0.9925623E+00  -0.3049604E-02
 0.3800000E+01   0.9944494E+00  -0.8575553E-01   0.9944483E+00  -0.1488408E-02
 0.4000000E+01   0.9956164E+00  -0.5169668E-01   0.9956160E+00  -0.8983219E-03
 0.4200000E+01   0.9963955E+00  -0.3570606E-01   0.9963953E+00  -0.6209421E-03
 0.4400000E+01   0.9969623E+00  -0.2718812E-01   0.9969622E+00  -0.4730807E-03
 0.4600000E+01   0.9974046E+00  -0.2234574E-01   0.9974046E+00  -0.3889946E-03
 0.4800000E+01   0.9977700E+00  -0.1955661E-01   0.9977700E+00  -0.3405661E-03
 0.5000000E+01   0.9980862E+00  -0.1803906E-01   0.9980862E+00  -0.3142385E-03
 0.5200000E+01   0.9983707E+00  -0.1738450E-01   0.9983706E+00  -0.3029224E-03
 0.5400000E+01   0.9986350E+00  -0.1736874E-01   0.9986349E+00  -0.3027279E-03
 0.5600000E+01   0.9988873E+00  -0.1786761E-01   0.9988872E+00  -0.3115016E-03
 0.5800000E+01   0.9991338E+00  -0.1881635E-01   0.9991338E+00  -0.3281228E-03
 0.6000000E+01   0.9993795E+00  -0.2018926E-01   0.9993794E+00  -0.3521505E-03
 0.6200000E+01   0.9996284E+00  -0.2198969E-01   0.9996283E+00  -0.3836499E-03
 0.6400000E+01   0.9998843E+00  -0.2424592E-01   0.9998842E+00  -0.4231221E-03
 0.6600000E+01   0.1000151E+01  -0.2701099E-01   0.1000151E+01  -0.4715018E-03
 0.6800000E+01   0.1000432E+01  -0.3036593E-01   0.1000432E+01  -0.5302144E-03
 0.7000000E+01   0.1000732E+01  -0.3442646E-01   0.1000732E+01  -0.6012949E-03
 0.7200000E+01   0.1001055E+01  -0.3935435E-01   0.1001055E+01  -0.6875878E-03
 0.7400000E+01   0.1001407E+01  -0.4537539E-01   0.1001407E+01  -0.7930643E-03
 0.7600000E+01   0.1001795E+01  -0.5280769E-01   0.1001794E+01  -0.9233222E-03
 0.7800000E+01   0.1002226E+01  -0.6210697E-01   0.1002225E+01  -0.1086384E-02
 0.8000000E+01   0.1002711E+01  -0.7394019E-01   0.1002710E+01  -0.1293998E-02
 0.8200000E+01   0.1003263E+01  -0.8930919E-01   0.1003262E+01  -0.1563825E-02
 0.8400000E+01   0.1003899E+01  -0.1097644E+00   0.1003897E+01  -0.1923217E-02
 0.8600000E+01   0.1004636E+01  -0.1377857E+00   0.1004633E+01  -0.2415961E-02
 0.8800000E+01   0.1005496E+01  -0.1774807E+00   0.1005491E+01  -0.3114642E-02
 0.9000000E+01   0.1006488E+01  -0.2358747E+00   0.1006479E+01  -0.4143487E-02
 0.9200000E+01   0.1007576E+01  -0.3251829E+00   0.1007559E+01  -0.5718478E-02
 0.9400000E+01   0.1008561E+01  -0.4658014E+00   0.1008527E+01  -0.8199275E-02
 0.9600000E+01   0.1008755E+01  -0.6836538E+00   0.1008683E+01  -0.1203619E-01
 0.9800000E+01   0.1006461E+01  -0.9684189E+00   0.1006317E+01  -0.1701049E-01
 0.1000000E+02   0.1000161E+01  -0.1156389E+01   0.9999571E+00  -0.2018466E-01
 0.1020000E+02   0.9931492E+00  -0.1039853E+01   0.9929857E+00  -0.1802354E-01
 0.1040000E+02   0.9898798E+00  -0.7564238E+00   0.9897935E+00  -0.1306810E-01
 0.1060000E+02   0.9896723E+00  -0.5147021E+00   0.9896324E+00  -0.8890351E-02
 0.1080000E+02   0.9906140E+00  -0.3561169E+00   0.9905949E+00  -0.6157034E-02
 0.1100000E+02   0.9917781E+00  -0.2573364E+00   0.9917681E+00  -0.4454426E-02
 0.1120000E+02   0.9928736E+00  -0.1946643E+00   0.9928678E+00  -0.3373315E-02
 0.1140000E+02   0.9938379E+00  -0.1532385E+00   0.9938343E+00  -0.2658032E-02
 0.1160000E+02   0.9946761E+00  -0.1243638E+00   0.9946738E+00  -0.2159000E-02
 0.1180000E+02   0.9954098E+00  -0.1027467E+00   0.9954082E+00  -0.1785037E-02
 0.1200000E+02   0.9960628E+00  -0.8479736E-01   0.9960617E+00  -0.1474166E-02
 0.1220000E+02   0.9966615E+00  -0.6761547E-01   0.9966608E+00  -0.1176173E-02
 0.1240000E+02   0.9972411E+00  -0.4833917E-01   0.9972408E+00  -0.8413499E-03
 0.1260000E+02   0.9978629E+00  -0.2382804E-01   0.9978628E+00  -0.4149890E-03
 0.1280000E+02   0.9986472E+00   0.8698417E-02   0.9986472E+00   0.1516106E-03
 0.1300000E+02   0.9998167E+00   0.4794247E-01   0.9998163E+00   0.8366005E-03
 0.1320000E+02   0.1001655E+01   0.7895790E-01   0.1001654E+01   0.1380356E-02
 0.1340000E+02   0.1004173E+01   0.6734038E-01   0.1004173E+01   0.1180216E-02
 0.1360000E+02   0.1006756E+01  -0.1282566E-01   0.1006756E+01  -0.2253623E-03
 0.1380000E+02   0.1008719E+01  -0.1466856E+00   0.1008716E+01  -0.2582467E-02
 0.1400000E+02   0.1009941E+01  -0.3075977E+00   0.1009927E+01  -0.5421937E-02
 0.1420000E+02   0.1010528E+01  -0.4884925E+00   0.1010491E+01  -0.8615458E-02
 0.1440000E+02   0.1010363E+01  -0.6952614E+00   0.1010289E+01  -0.1226005E-01
 0.1460000E+02   0.1008970E+01  -0.9263604E+00   0.1008838E+01  -0.1631235E-01
 0.1480000E+02   0.1005700E+01  -0.1147502E+01   0.1005498E+01  -0.2014050E-01
 0.1500000E+02   0.1000498E+01  -0.1279210E+01   0.1000249E+01  -0.2233569E-01
 0.1520000E+02   0.9947424E+00  -0.1249873E+01   0.9945057E+00  -0.2169798E-01
 0.1540000E+02   0.9903834E+00  -0.1081581E+01   0.9902069E+00  -0.1869450E-01
 0.1560000E+02   0.9881629E+00  -0.8647240E+00   0.9880504E+00  -0.1491307E-01
 0.1580000E+02   0.9875926E+00  -0.6679601E+00   0.9875255E+00  -0.1151320E-01
 0.1600000E+02   0.9879323E+00  -0.5138456E+00   0.9878926E+00  -0.8859952E-02
 0.1620000E+02   0.9886697E+00  -0.3999677E+00   0.9886456E+00  -0.6901604E-02
 0.1640000E+02   0.9895338E+00  -0.3171815E+00   0.9895186E+00  -0.5477895E-02
 0.1660000E+02   0.9903999E+00  -0.2568310E+00   0.9903900E+00  -0.4439498E-02
 0.1680000E+02   0.9912176E+00  -0.2123647E+00   0.9912108E+00  -0.3673903E-02
 0.1700000E+02   0.9919705E+00  -0.1791687E+00   0.9919656E+00  -0.3101969E-02
 0.1720000E+02   0.9926574E+00  -0.1540609E+00   0.9926538E+00  -0.2669123E-02
 0.1740000E+02   0.9932833E+00  -0.1348466E+00   0.9932805E+00  -0.2337708E-02
 0.1760000E+02   0.9938548E+00  -0.1199978E+00   0.9938527E+00  -0.2081485E-02
 0.1780000E+02   0.9943791E+00  -0.1084359E+00   0.9943773E+00  -0.1881925E-02
 0.1800000E+02   0.9948625E+00  -0.9938846E-01   0.9948610E+00  -0.1725743E-02
 0.1820000E+02   0.9953108E+00  -0.9229359E-01   0.9953095E+00  -0.1603273E-02
 0.1840000E+02   0.9957289E+00  -0.8673665E-01   0.9957278E+00  -0.1507374E-02
 0.1860000E+02   0.9961210E+00  -0.8240734E-01   0.9961199E+00  -0.1432700E-02
 0.1880000E+02   0.9964905E+00  -0.7907039E-01   0.9964896E+00  -0.1375195E-02
 0.1900000E+02   0.9968406E+00  -0.7654526E-01   0.9968398E+00  -0.1331746E-02
 0.1920000E+02   0.9971739E+00  -0.7469184E-01   0.9971730E+00  -0.1299934E-02
 0.1940000E+02   0.9974924E+00  -0.7340028E-01   0.9974916E+00  -0.1277864E-02
 0.1960000E+02   0.9977981E+00  -0.7258366E-01   0.9977973E+00  -0.1264034E-02
 0.1980000E+02   0.9980926E+00  -0.7217260E-01   0.9980918E+00  -0.1257247E-02
 0.2000000E+02   0.9983772E+00  -0.7211131E-01   0.9983764E+00  -0.1256537E-02
 0.2020000E+02   0.9986531E+00  -0.7235463E-01   0.9986523E+00  -0.1261125E-02
 0.2040000E+02   0.9989215E+00  -0.7286578E-01   0.9989207E+00  -0.1270376E-02
 0.2060000E+02   0.9991831E+00  -0.7361473E-01   0.9991823E+00  -0.1283770E-02
 0.2080000E+02   0.9994388E+00  -0.7457683E-01   0.9994380E+00  -0.1300880E-02
 0.2100000E+02   0.9996893E+00  -0.7573185E-01   0.9996885E+00  -0.1321359E-02
 0.2120000E+02   0.9999352E+00  -0.7706322E-01   0.9999343E+00  -0.1344919E-02
 0.2140000E+02   0.1000177E+01  -0.7855746E-01   0.1000176E+01  -0.1371329E-02
 0.2160000E+02   0.1000415E+01  -0.8020367E-01   0.1000414E+01  -0.1400399E-02
 0.2180000E+02   0.1000651E+01  -0.8199327E-01   0.1000649E+01  -0.1431983E-02
 0.2200000E+02   0.1000883E+01  -0.8391973E-01   0.1000882E+01  -0.1465968E-02
 0.2220000E+02   0.1001113E+01  -0.8597838E-01   0.1001112E+01  -0.1502275E-02
 0.2240000E+02   0.1001341E+01  -0.8816641E-01   0.1001340E+01  -0.1540857E-02
 0.2260000E+02   0.1001567E+01  -0.9048275E-01   0.1001566E+01  -0.1581696E-02
 0.2280000E+02   0.1001792E+01  -0.9292810E-01   0.1001790E+01  -0.1624807E-02
 0.2300000E+02   0.1002015E+01  -0.9550496E-01   0.1002013E+01  -0.1670234E-02
 0.2320000E+02   0.1002237E+01  -0.9821745E-01   0.1002235E+01  -0.1718051E-02
 0.2340000E+02   0.1002457E+01  -0.1010710E+00   0.1002456E+01  -0.1768356E-02
 0.2360000E+02   0.1002677E+01  -0.1040714E+00   0.1002675E+01  -0.1821251E-02
 0.2380000E+02   0.1002895E+01  -0.1072230E+00   0.1002893E+01  -0.1876810E-02
 0.2400000E+02   0.1003112E+01  -0.1105248E+00   0.1003110E+01  -0.1935023E-02
 0.2420000E+02   0.1003326E+01  -0.1139667E+00   0.1003324E+01  -0.1995709E-02
 0.2440000E+02   0.1003539E+01  -0.1175252E+00   0.1003537E+01  -0.2058460E-02
 0.2460000E+02   0.1003750E+01  -0.1211668E+00   0.1003748E+01  -0.2122689E-02
 0.2480000E+02   0.1003959E+01  -0.1248622E+00   0.1003957E+01  -0.2187882E-02
 0.2500000E+02   0.1004168E+01  -0.1286076E+00   0.1004165E+01  -0.2253979E-02
 0.2520000E+02   0.1004376E+01  -0.1324373E+00   0.1004374E+01  -0.2321581E-02
 0.2540000E+02   0.1004585E+01  -0.1364130E+00   0.1004582E+01  -0.2391770E-02
 0.2560000E+02   0.1004793E+01  -0.1405986E+00   0.1004790E+01  -0.2465667E-02
 0.2580000E+02   0.1005000E+01  -0.1450369E+00   0.1004996E+01  -0.2544025E-02
