  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000273E+01  -0.1567741E-02   0.1000273E+01  -0.2736973E-04
 0.2099800E+00   0.1000273E+01  -0.1567741E-02   0.1000273E+01  -0.2736973E-04
 0.4000000E+00   0.1001005E+01  -0.5761818E-02   0.1001005E+01  -0.1006637E-03
 0.6000000E+00   0.1002247E+01  -0.1289422E-01   0.1002247E+01  -0.2255524E-03
 0.8000000E+00   0.1003991E+01  -0.2290063E-01   0.1003991E+01  -0.4012866E-03
 0.1000000E+01   0.1006239E+01  -0.3579813E-01   0.1006239E+01  -0.6286935E-03
 0.1200000E+01   0.1008996E+01  -0.5160729E-01   0.1008996E+01  -0.9088199E-03
 0.1400000E+01   0.1012268E+01  -0.7035219E-01   0.1012267E+01  -0.1242940E-02
 0.1600000E+01   0.1016061E+01  -0.9206060E-01   0.1016060E+01  -0.1632566E-02
 0.1800000E+01   0.1020384E+01  -0.1167641E+00   0.1020382E+01  -0.2079457E-02
 0.2000000E+01   0.1025245E+01  -0.1444982E+00   0.1025242E+01  -0.2585634E-02
 0.2200000E+01   0.1030656E+01  -0.1753026E+00   0.1030651E+01  -0.3153398E-02
 0.2400000E+01   0.1036627E+01  -0.2092214E+00   0.1036620E+01  -0.3785340E-02
 0.2600000E+01   0.1043172E+01  -0.2463030E+00   0.1043162E+01  -0.4484373E-02
 0.2800000E+01   0.1050305E+01  -0.2866010E+00   0.1050292E+01  -0.5253745E-02
 0.3000000E+01   0.1058043E+01  -0.3301740E+00   0.1058026E+01  -0.6097070E-02
 0.3200000E+01   0.1066402E+01  -0.3770858E+00   0.1066379E+01  -0.7018359E-02
 0.3400000E+01   0.1075403E+01  -0.4274064E+00   0.1075373E+01  -0.8022053E-02
 0.3600000E+01   0.1085065E+01  -0.4812117E+00   0.1085027E+01  -0.9113059E-02
 0.3800000E+01   0.1095412E+01  -0.5385844E+00   0.1095363E+01  -0.1029680E-01
 0.4000000E+01   0.1106468E+01  -0.5996141E+00   0.1106408E+01  -0.1157925E-01
 0.4200000E+01   0.1118262E+01  -0.6643983E+00   0.1118187E+01  -0.1296700E-01
 0.4400000E+01   0.1130821E+01  -0.7330424E+00   0.1130729E+01  -0.1446734E-01
 0.4600000E+01   0.1144179E+01  -0.8056608E+00   0.1144066E+01  -0.1608827E-01
 0.4800000E+01   0.1158369E+01  -0.8823773E+00   0.1158232E+01  -0.1783863E-01
 0.5000000E+01   0.1173430E+01  -0.9633260E+00   0.1173264E+01  -0.1972820E-01
 0.5200000E+01   0.1189403E+01  -0.1048652E+01   0.1189203E+01  -0.2176775E-01
 0.5400000E+01   0.1206331E+01  -0.1138513E+01   0.1206092E+01  -0.2396917E-01
 0.5600000E+01   0.1224262E+01  -0.1233078E+01   0.1223979E+01  -0.2634565E-01
 0.5800000E+01   0.1243250E+01  -0.1332532E+01   0.1242914E+01  -0.2891176E-01
 0.6000000E+01   0.1263351E+01  -0.1437074E+01   0.1262954E+01  -0.3168364E-01
 0.6200000E+01   0.1284627E+01  -0.1546919E+01   0.1284159E+01  -0.3467921E-01
 0.6400000E+01   0.1307145E+01  -0.1662300E+01   0.1306595E+01  -0.3791837E-01
 0.6600000E+01   0.1330978E+01  -0.1783470E+01   0.1330333E+01  -0.4142323E-01
 0.6800000E+01   0.1356206E+01  -0.1910702E+01   0.1355452E+01  -0.4521842E-01
 0.7000000E+01   0.1382916E+01  -0.2044289E+01   0.1382036E+01  -0.4933139E-01
 0.7200000E+01   0.1411204E+01  -0.2184549E+01   0.1410179E+01  -0.5379276E-01
 0.7400000E+01   0.1441173E+01  -0.2331827E+01   0.1439980E+01  -0.5863675E-01
 0.7600000E+01   0.1472938E+01  -0.2486489E+01   0.1471551E+01  -0.6390163E-01
 0.7800000E+01   0.1506622E+01  -0.2648934E+01   0.1505012E+01  -0.6963025E-01
 0.8000000E+01   0.1542363E+01  -0.2819584E+01   0.1540495E+01  -0.7587061E-01
 0.8200000E+01   0.1580311E+01  -0.2998891E+01   0.1578146E+01  -0.8267651E-01
 0.8400000E+01   0.1620630E+01  -0.3187332E+01   0.1618123E+01  -0.9010828E-01
 0.8600000E+01   0.1663504E+01  -0.3385410E+01   0.1660601E+01  -0.9823353E-01
 0.8800000E+01   0.1709131E+01  -0.3593642E+01   0.1705771E+01  -0.1071280E+00
 0.9000000E+01   0.1757732E+01  -0.3812555E+01   0.1753842E+01  -0.1168761E+00
 0.9200000E+01   0.1809550E+01  -0.4042668E+01   0.1805048E+01  -0.1275721E+00
 0.9400000E+01   0.1864852E+01  -0.4284469E+01   0.1859640E+01  -0.1393201E+00
 0.9600000E+01   0.1923932E+01  -0.4538373E+01   0.1917900E+01  -0.1522345E+00
 0.9800000E+01   0.1987115E+01  -0.4804670E+01   0.1980133E+01  -0.1664389E+00
 0.1000000E+02   0.2054757E+01  -0.5083433E+01   0.2046675E+01  -0.1820644E+00
 0.1020000E+02   0.2127247E+01  -0.5374382E+01   0.2117896E+01  -0.1992447E+00
 0.1040000E+02   0.2205010E+01  -0.5676673E+01   0.2194197E+01  -0.2181078E+00
 0.1060000E+02   0.2288507E+01  -0.5988572E+01   0.2276018E+01  -0.2387602E+00
 0.1080000E+02   0.2378236E+01  -0.6306937E+01   0.2363842E+01  -0.2612602E+00
 0.1100000E+02   0.2474728E+01  -0.6626403E+01   0.2458196E+01  -0.2855710E+00
 0.1120000E+02   0.2578558E+01  -0.6938059E+01   0.2559676E+01  -0.3114802E+00
 0.1140000E+02   0.2690351E+01  -0.7227294E+01   0.2668976E+01  -0.3384618E+00
 0.1160000E+02   0.2810838E+01  -0.7470240E+01   0.2786981E+01  -0.3654404E+00
 0.1180000E+02   0.2941002E+01  -0.7627924E+01   0.2914977E+01  -0.3903870E+00
 0.1200000E+02   0.3082499E+01  -0.7636802E+01   0.3055158E+01  -0.4096426E+00
 0.1220000E+02   0.3238775E+01  -0.7394696E+01   0.3211838E+01  -0.4168426E+00
 0.1240000E+02   0.3418001E+01  -0.6745304E+01   0.3394342E+01  -0.4014647E+00
 0.1260000E+02   0.3640360E+01  -0.5485100E+01   0.3623691E+01  -0.3479707E+00
 0.1280000E+02   0.3953851E+01  -0.3485697E+01   0.3946536E+01  -0.2403916E+00
 0.1300000E+02   0.4456082E+01  -0.1134962E+01   0.4455208E+01  -0.8826397E-01
 0.1320000E+02   0.5278159E+01   0.1751969E-01   0.5278159E+01   0.1613936E-02
 0.1340000E+02   0.6450438E+01  -0.2081671E+01   0.6446181E+01  -0.2343058E+00
 0.1360000E+02   0.7793268E+01  -0.7634495E+01   0.7724187E+01  -0.1035360E+01
 0.1380000E+02   0.9120277E+01  -0.1499679E+02   0.8809644E+01  -0.2360008E+01
 0.1400000E+02   0.1043144E+02  -0.2294478E+02   0.9606118E+01  -0.4066634E+01
 0.1420000E+02   0.1182225E+02  -0.3137753E+02   0.1009330E+02  -0.6155547E+01
 0.1440000E+02   0.1335092E+02  -0.4080374E+02   0.1010601E+02  -0.8724423E+01
 0.1460000E+02   0.1495196E+02  -0.5187110E+02   0.9231827E+01  -0.1176156E+02
 0.1480000E+02   0.1635303E+02  -0.6498354E+02   0.6915349E+01  -0.1481890E+02
 0.1500000E+02   0.1708492E+02  -0.7980708E+02   0.3023402E+01  -0.1681528E+02
 0.1520000E+02   0.1678504E+02  -0.9500984E+02  -0.1465785E+01  -0.1672091E+02
 0.1540000E+02   0.1557385E+02  -0.1089095E+03  -0.5047082E+01  -0.1473335E+02
 0.1560000E+02   0.1392539E+02  -0.1204991E+03  -0.7067475E+01  -0.1199864E+02
 0.1580000E+02   0.1225553E+02  -0.1296725E+03  -0.7823918E+01  -0.9433156E+01
 0.1600000E+02   0.1076614E+02  -0.1368043E+03  -0.7848738E+01  -0.7369340E+01
 0.1620000E+02   0.9507886E+01  -0.1423642E+03  -0.7529376E+01  -0.5805893E+01
 0.1640000E+02   0.8465266E+01  -0.1467539E+03  -0.7079704E+01  -0.4640961E+01
 0.1660000E+02   0.7603709E+01  -0.1502765E+03  -0.6603276E+01  -0.3770031E+01
 0.1680000E+02   0.6888317E+01  -0.1531508E+03  -0.6145744E+01  -0.3111067E+01
 0.1700000E+02   0.6289482E+01  -0.1555335E+03  -0.5724707E+01  -0.2604862E+01
 0.1720000E+02   0.5783599E+01  -0.1575374E+03  -0.5344792E+01  -0.2209800E+01
 0.1740000E+02   0.5352273E+01  -0.1592449E+03  -0.5004928E+01  -0.1896711E+01
 0.1760000E+02   0.4981246E+01  -0.1607168E+03  -0.4701788E+01  -0.1644994E+01
 0.1780000E+02   0.4659441E+01  -0.1619991E+03  -0.4431369E+01  -0.1439919E+01
 0.1800000E+02   0.4378197E+01  -0.1631266E+03  -0.4189709E+01  -0.1270806E+01
 0.1820000E+02   0.4130683E+01  -0.1641265E+03  -0.3973171E+01  -0.1129801E+01
 0.1840000E+02   0.3911465E+01  -0.1650200E+03  -0.3778539E+01  -0.1011042E+01
 0.1860000E+02   0.3716182E+01  -0.1658240E+03  -0.3603017E+01  -0.9100964E+00
 0.1880000E+02   0.3541299E+01  -0.1665521E+03  -0.3444203E+01  -0.8235694E+00
 0.1900000E+02   0.3383930E+01  -0.1672152E+03  -0.3300036E+01  -0.7488287E+00
 0.1920000E+02   0.3241695E+01  -0.1678224E+03  -0.3168752E+01  -0.6838109E+00
 0.1940000E+02   0.3112622E+01  -0.1683812E+03  -0.3048842E+01  -0.6268816E+00
 0.1960000E+02   0.2995059E+01  -0.1688977E+03  -0.2939006E+01  -0.5767334E+00
 0.1980000E+02   0.2887617E+01  -0.1693772E+03  -0.2838129E+01  -0.5323113E+00
 0.2000000E+02   0.2789119E+01  -0.1698241E+03  -0.2745246E+01  -0.4927565E+00
 0.2020000E+02   0.2698561E+01  -0.1702421E+03  -0.2659520E+01  -0.4573647E+00
 0.2040000E+02   0.2615083E+01  -0.1706346E+03  -0.2580226E+01  -0.4255538E+00
 0.2060000E+02   0.2537946E+01  -0.1710042E+03  -0.2506728E+01  -0.3968397E+00
 0.2080000E+02   0.2466506E+01  -0.1713533E+03  -0.2438472E+01  -0.3708170E+00
 0.2100000E+02   0.2400206E+01  -0.1716841E+03  -0.2374970E+01  -0.3471440E+00
 0.2120000E+02   0.2338560E+01  -0.1719983E+03  -0.2315792E+01  -0.3255316E+00
 0.2140000E+02   0.2281138E+01  -0.1722977E+03  -0.2260557E+01  -0.3057333E+00
 0.2160000E+02   0.2227566E+01  -0.1725835E+03  -0.2208930E+01  -0.2875382E+00
 0.2180000E+02   0.2177509E+01  -0.1728570E+03  -0.2160609E+01  -0.2707650E+00
 0.2200000E+02   0.2130673E+01  -0.1731194E+03  -0.2115328E+01  -0.2552569E+00
 0.2220000E+02   0.2086795E+01  -0.1733716E+03  -0.2072846E+01  -0.2408781E+00
 0.2240000E+02   0.2045641E+01  -0.1736145E+03  -0.2032951E+01  -0.2275100E+00
 0.2260000E+02   0.2007002E+01  -0.1738490E+03  -0.1995447E+01  -0.2150491E+00
 0.2280000E+02   0.1970688E+01  -0.1740757E+03  -0.1960163E+01  -0.2034045E+00
 0.2300000E+02   0.1936531E+01  -0.1742952E+03  -0.1926940E+01  -0.1924962E+00
 0.2320000E+02   0.1904377E+01  -0.1745083E+03  -0.1895636E+01  -0.1822533E+00
 0.2340000E+02   0.1874090E+01  -0.1747153E+03  -0.1866123E+01  -0.1726130E+00
 0.2360000E+02   0.1845542E+01  -0.1749168E+03  -0.1838284E+01  -0.1635196E+00
 0.2380000E+02   0.1818621E+01  -0.1751132E+03  -0.1812011E+01  -0.1549233E+00
 0.2400000E+02   0.1793224E+01  -0.1753050E+03  -0.1787207E+01  -0.1467795E+00
 0.2420000E+02   0.1769256E+01  -0.1754924E+03  -0.1763783E+01  -0.1390481E+00
 0.2440000E+02   0.1746631E+01  -0.1756759E+03  -0.1741659E+01  -0.1316932E+00
 0.2460000E+02   0.1725270E+01  -0.1758557E+03  -0.1720759E+01  -0.1246824E+00
 0.2480000E+02   0.1705101E+01  -0.1760322E+03  -0.1701014E+01  -0.1179862E+00
 0.2500000E+02   0.1686058E+01  -0.1762056E+03  -0.1682362E+01  -0.1115780E+00
 0.2520000E+02   0.1668081E+01  -0.1763761E+03  -0.1664745E+01  -0.1054336E+00
 0.2540000E+02   0.1651113E+01  -0.1765441E+03  -0.1648110E+01  -0.9953085E-01
 0.2560000E+02   0.1635102E+01  -0.1767096E+03  -0.1632407E+01  -0.9384966E-01
 0.2580000E+02   0.1620003E+01  -0.1768730E+03  -0.1617590E+01  -0.8837150E-01
 0.2600000E+02   0.1605769E+01  -0.1770343E+03  -0.1603619E+01  -0.8307939E-01
 0.2620000E+02   0.1592362E+01  -0.1771938E+03  -0.1590453E+01  -0.7795769E-01
 0.2640000E+02   0.1579744E+01  -0.1773517E+03  -0.1578056E+01  -0.7299197E-01
 0.2660000E+02   0.1567879E+01  -0.1775081E+03  -0.1566397E+01  -0.6816888E-01
 0.2680000E+02   0.1556737E+01  -0.1776631E+03  -0.1555442E+01  -0.6347604E-01
 0.2700000E+02   0.1546287E+01  -0.1778169E+03  -0.1545165E+01  -0.5890192E-01
 0.2720000E+02   0.1536502E+01  -0.1779697E+03  -0.1535537E+01  -0.5443578E-01
 0.2740000E+02   0.1527356E+01  -0.1781215E+03  -0.1526535E+01  -0.5006757E-01
 0.2760000E+02   0.1518826E+01  -0.1782724E+03  -0.1518135E+01  -0.4578788E-01
 0.2780000E+02   0.1510889E+01  -0.1784227E+03  -0.1510317E+01  -0.4158785E-01
 0.2800000E+02   0.1503526E+01  -0.1785724E+03  -0.1503060E+01  -0.3745913E-01
 0.2820000E+02   0.1496718E+01  -0.1787215E+03  -0.1496346E+01  -0.3339383E-01
 0.2840000E+02   0.1490447E+01  -0.1788703E+03  -0.1490157E+01  -0.2938446E-01
