#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
BQ|BA01||DNE|50.7789|6.0614|216.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA01||DNN|50.7789|6.0614|216.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA01||DNZ|50.7789|6.0614|216.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA02||DNE|50.7722|6.2157|230.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA02||DNN|50.7722|6.2157|230.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA02||DNZ|50.7722|6.2157|230.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA03||DNE|50.8379|6.3866|120.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|2020-11-15T00:00:00
BQ|BA03||DNN|50.8379|6.3866|120.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|2020-11-15T00:00:00
BQ|BA03||DNZ|50.8379|6.3866|120.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|2020-11-15T00:00:00
BQ|BA04||DNE|50.762|6.7941|118.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA04||DNN|50.762|6.7941|118.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA04||DNZ|50.762|6.7941|118.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA05||DNE|50.9175|6.6637|72.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA05||DNN|50.9175|6.6637|72.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA05||DNZ|50.9175|6.6637|72.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA06||DNE|50.9196|6.7052|73.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA06||DNN|50.9196|6.7052|73.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA06||DNZ|50.9196|6.7052|73.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA08||DNE|50.9642|7.0755|58.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA08||DNN|50.9642|7.0755|58.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA08||DNZ|50.9642|7.0755|58.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA09||DNE|50.9638|7.1755|200.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA09||DNN|50.9638|7.1755|200.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA09||DNZ|50.9638|7.1755|200.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA10||DNE|50.6131|6.9945|186.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA10||DNN|50.6131|6.9945|186.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA10||DNZ|50.6131|6.9945|186.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA11||DNE|50.7666|6.501|138.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA11||DNN|50.7666|6.501|138.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA11||DNZ|50.7666|6.501|138.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA13||DNE|51.0707|6.0753|42.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA13||DNN|51.0707|6.0753|42.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA13||DNZ|51.0707|6.0753|42.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA16||DNE|51.0301|6.6616|81.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA16||DNN|51.0301|6.6616|81.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA16||DNZ|51.0301|6.6616|81.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA18||DNE|50.5938|6.8393|262.0|1.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA18||DNN|50.5938|6.8393|262.0|1.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA18||DNZ|50.5938|6.8393|262.0|1.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|405841.0|1.0|M/S**2|250.0|2006-01-01T00:00:00|
BQ|BA30||DNE|50.8425|6.2781|157.0|0.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|250.0|2020-12-01T00:00:00|
BQ|BA30||DNN|50.8425|6.2781|157.0|0.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|250.0|2020-12-01T00:00:00|
BQ|BA30||DNZ|50.8425|6.2781|157.0|0.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|250.0|2020-12-01T00:00:00|
BQ|BA30||SNE|50.8425|6.2781|157.0|0.0|90.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|10.0|2020-12-01T00:00:00|
BQ|BA30||SNN|50.8425|6.2781|157.0|0.0|0.0|0.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|10.0|2020-12-01T00:00:00|
BQ|BA30||SNZ|50.8425|6.2781|157.0|0.0|0.0|-90.0|Episensor, DC to >200 Hz,  20V differential full s|407880.0|1.0|M/S**2|10.0|2020-12-01T00:00:00|
BQ|BGG||EHE|50.206|7.3372|140.0|0.0|90.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|17969600000.0|1.0|M/S|125.0|2002-12-11T12:00:00|2005-04-07T00:00:00
BQ|BGG||EHE|50.206|7.3372|140.0|0.0|90.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|1716080000.0|1.0|M/S|125.0|2005-04-07T00:00:00|
BQ|BGG||EHN|50.206|7.3372|140.0|0.0|0.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|16621800000.0|1.0|M/S|125.0|2002-12-11T12:00:00|2005-04-07T00:00:00
BQ|BGG||EHN|50.206|7.3372|140.0|0.0|0.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|1587360000.0|1.0|M/S|125.0|2005-04-07T00:00:00|
BQ|BGG||EHZ|50.206|7.3372|140.0|0.0|0.0|-90.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|19633200000.0|1.0|M/S|125.0|2002-12-11T12:00:00|2005-04-07T00:00:00
BQ|BGG||EHZ|50.206|7.3372|140.0|0.0|0.0|-90.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|1874950000.0|1.0|M/S|125.0|2005-04-07T00:00:00|
BQ|BNS||EHE|50.964|7.176|200.0|1.0|90.0|0.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|157195000.0|1.0|M/S|125.0|2012-05-10T15:00:00|
BQ|BNS||EHN|50.964|7.176|200.0|1.0|0.0|0.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|157195000.0|1.0|M/S|125.0|2012-05-10T15:00:00|
BQ|BNS||EHZ|50.964|7.176|200.0|1.0|0.0|-90.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|157195000.0|1.0|M/S|125.0|2012-05-10T15:00:00|
BQ|DREG||HHE|50.663|6.233|390.0|1.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-10-28T00:00:00|
BQ|DREG||HHN|50.663|6.233|390.0|1.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-10-28T00:00:00|
BQ|DREG||HHZ|50.663|6.233|390.0|1.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-10-28T00:00:00|
BQ|HILG||EHE|50.2918|6.6788|500.0|0.0|90.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|3512730000.0|1.0|M/S|125.0|2003-04-15T00:00:00|
BQ|HILG||EHN|50.2918|6.6788|500.0|0.0|0.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|4445320000.0|1.0|M/S|125.0|2003-04-15T00:00:00|
BQ|HILG||EHZ|50.2918|6.6788|500.0|0.0|0.0|-90.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|3361020000.0|1.0|M/S|125.0|2003-04-15T00:00:00|
BQ|HOBG||EHE|50.9835|7.3338|270.0|1.0|90.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|16683600000.0|1.0|M/S|125.0|2003-01-17T00:00:00|
BQ|HOBG||EHN|50.9835|7.3338|270.0|1.0|0.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|17936800000.0|1.0|M/S|125.0|2003-01-17T00:00:00|
BQ|HOBG||EHZ|50.9835|7.3338|270.0|1.0|0.0|-90.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|12757200000.0|1.0|M/S|125.0|2003-01-17T00:00:00|
BQ|HOBG||HHE|50.9835|7.3338|270.0|1.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-09-06T00:00:00|
BQ|HOBG||HHN|50.9835|7.3338|270.0|1.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-09-06T00:00:00|
BQ|HOBG||HHZ|50.9835|7.3338|270.0|1.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|613716000.0|1.0|M/S|125.0|2006-09-06T00:00:00|
BQ|JUE||EHE|50.91|6.407|91.0|0.0|90.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-01-01T00:00:00|
BQ|JUE||EHN|50.91|6.407|91.0|0.0|0.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-01-01T00:00:00|
BQ|JUE||EHZ|50.91|6.407|91.0|0.0|0.0|-90.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-01-01T00:00:00|
BQ|KLL||EHE|50.6467|6.3113|440.0|0.0|90.0|0.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|158912000.0|1.0|M/S|125.0|2014-10-23T15:00:00|
BQ|KLL||EHN|50.6467|6.3113|440.0|0.0|0.0|0.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|158912000.0|1.0|M/S|125.0|2014-10-23T15:00:00|
BQ|KLL||EHZ|50.6467|6.3113|440.0|0.0|0.0|-90.0|LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity|158912000.0|1.0|M/S|125.0|2014-10-23T15:00:00|
BQ|KOE||EHE|50.4253|7.7317|540.0|1.0|90.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|111106000.0|1.0|M/S|125.0|2010-07-01T00:00:00|
BQ|KOE||EHN|50.4253|7.7317|540.0|1.0|0.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|111106000.0|1.0|M/S|125.0|2010-07-01T00:00:00|
BQ|KOE||EHZ|50.4253|7.7317|540.0|1.0|0.0|-90.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|111106000.0|1.0|M/S|125.0|2010-07-01T00:00:00|
BQ|LAUG||EHE|51.351|6.944|140.0|0.0|90.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-06-30T00:00:00|
BQ|LAUG||EHN|51.351|6.944|140.0|0.0|0.0|0.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-06-30T00:00:00|
BQ|LAUG||EHZ|51.351|6.944|140.0|0.0|0.0|-90.0|LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,|110574000.0|1.0|M/S|125.0|2004-06-30T00:00:00|
BQ|NAST||EHE|50.1951|7.8608|290.0|0.0|90.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|38484700.0|1.0|M/S|125.0|2014-10-01T00:00:00|
BQ|NAST||EHN|50.1951|7.8608|290.0|0.0|0.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|52017300.0|1.0|M/S|125.0|2014-10-01T00:00:00|
BQ|NAST||EHZ|50.1951|7.8608|290.0|0.0|0.0|-90.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|44255100.0|1.0|M/S|125.0|2014-10-01T00:00:00|
BQ|RODG||EHE|51.1447|6.1803|70.0|0.0|90.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|56386000.0|1.0|M/S|125.0|2003-10-29T00:00:00|
BQ|RODG||EHN|51.1447|6.1803|70.0|0.0|0.0|0.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|53093800.0|1.0|M/S|125.0|2003-10-29T00:00:00|
BQ|RODG||EHZ|51.1447|6.1803|70.0|0.0|0.0|-90.0|L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G|43699100.0|1.0|M/S|125.0|2003-10-29T00:00:00|
BQ|STB||EHE|50.594|6.84|270.0|0.0|90.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|162883000.0|1.0|M/S|125.0|2015-01-15T12:00:00|2016-10-25T00:00:00
BQ|STB||EHE|50.594|6.84|270.0|1.0|90.0|0.0|GTS13, 1.25 seconds|16288300000.0|1.0|M/S|125.0|2016-10-25T00:00:00|
BQ|STB||EHN|50.594|6.84|270.0|0.0|0.0|0.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|177708000.0|1.0|M/S|125.0|2015-01-15T12:00:00|2016-10-25T00:00:00
BQ|STB||EHN|50.594|6.84|270.0|1.0|0.0|0.0|GTS13, 1.25 seconds|17770800000.0|1.0|M/S|125.0|2016-10-25T00:00:00|
BQ|STB||EHZ|50.594|6.84|270.0|0.0|0.0|-90.0|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal|179070000.0|1.0|M/S|125.0|2015-01-15T12:00:00|2016-10-25T00:00:00
BQ|STB||EHZ|50.594|6.84|270.0|1.0|0.0|-90.0|GTS13, 1.25 seconds|17907000000.0|1.0|M/S|125.0|2016-10-25T00:00:00|
GQ|R1906||EHE|52.4048485|9.82125|52.0|0.0|90.0|0.0|ShakePi-3D/g=1|1.0|1.0|M/S|100.0|2019-01-01T00:00:00|
GQ|R1906||EHN|52.4048485|9.82125|52.0|0.0|0.0|0.0|ShakePi-3D/g=1|1.0|1.0|M/S|100.0|2019-01-01T00:00:00|
GQ|R1906||EHZ|52.4048485|9.82125|52.0|0.0|0.0|-90.0|ShakePi-3D/g=1|1.0|1.0|M/S|100.0|2019-01-01T00:00:00|
