Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00 -0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.1529493e-03 -3.2521490e-11  2.4020941e-09  2.4023143e-09
  1.6305899e-02 -1.3017103e-10  4.8069754e-09  4.8087376e-09
  2.4458848e-02 -2.9320544e-10  7.2174617e-09  7.2234149e-09
  3.2611797e-02 -5.2205817e-10  9.6364325e-09  9.6505635e-09
  4.0764747e-02 -8.1734757e-10  1.2066861e-08  1.2094511e-08
  4.8917696e-02 -1.1798888e-09  1.4511848e-08  1.4559735e-08
  5.7070645e-02 -1.6107100e-09  1.6974658e-08  1.7050906e-08
  6.5223595e-02 -2.1110725e-09  1.9458756e-08  1.9572935e-08
  7.3376544e-02 -2.6824970e-09  2.1967851e-08  2.2131025e-08
  8.1529493e-02 -3.3267950e-09  2.4505943e-08  2.4730726e-08
  8.9682443e-02 -4.0461083e-09  2.7077374e-08  2.7378005e-08
  9.7835392e-02 -4.8429562e-09  2.9686884e-08  3.0079317e-08
  1.0598834e-01 -5.7202941e-09  3.2339680e-08  3.2841691e-08
  1.1414129e-01 -6.6815840e-09  3.5041509e-08  3.5672832e-08
  1.2229424e-01 -7.7308790e-09  3.7798750e-08  3.8581239e-08
  1.3044719e-01 -8.8729239e-09  4.0618512e-08  4.1576343e-08
  1.3860014e-01 -1.0113286e-08  4.3508789e-08  4.4668706e-08
  1.4675309e-01 -1.1458524e-08  4.6478587e-08  4.7870208e-08
  1.5490604e-01 -1.2916421e-08  4.9538083e-08  5.1194293e-08
  1.6305899e-01 -1.4496448e-08  5.2699110e-08  5.4656593e-08
  1.7121194e-01 -1.6209914e-08  5.5975529e-08  5.8275391e-08
  1.7936489e-01 -1.8069945e-08  5.9381581e-08  6.2070082e-08
  1.8751783e-01 -2.0095187e-08  6.2932343e-08  6.6062821e-08
  1.9567078e-01 -2.2312813e-08  6.6654374e-08  7.0289879e-08
  2.0382373e-01 -2.4747969e-08  7.0576510e-08  7.4789743e-08
