Spectra of the displacement (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.1529493e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.6305899e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.4458848e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.2611797e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.0764747e-02  1.2458838e-08 -1.8393530e-07  1.8435676e-07
  4.8917696e-02  1.2489624e-08 -1.5361407e-07  1.5412097e-07
  5.7070645e-02  1.2526567e-08 -1.3201270e-07  1.3260569e-07
  6.5223595e-02  1.2569962e-08 -1.1586329e-07  1.1654315e-07
  7.3376544e-02  1.2620164e-08 -1.0335068e-07  1.0411835e-07
  8.1529493e-02  1.2677593e-08 -9.3386093e-08  9.4242685e-08
  8.9682443e-02  1.2742742e-08 -8.5277008e-08  8.6223811e-08
  9.7835392e-02  1.2816187e-08 -7.8562067e-08  7.9600584e-08
  1.0598834e-01  1.2898596e-08 -7.2922204e-08  7.4054180e-08
  1.1414129e-01  1.2990747e-08 -6.8129862e-08  6.9357318e-08
  1.2229424e-01  1.3093542e-08 -6.4018529e-08  6.5343806e-08
  1.3044719e-01  1.3208015e-08 -6.0463714e-08  6.1889517e-08
  1.3860014e-01  1.3335375e-08 -5.7370672e-08  5.8900137e-08
  1.4675309e-01  1.3477037e-08 -5.4666175e-08  5.6302941e-08
  1.5490604e-01  1.3634706e-08 -5.2292906e-08  5.4041217e-08
  1.6305899e-01  1.3810595e-08 -5.0205820e-08  5.2070691e-08
  1.7121194e-01  1.4007251e-08 -4.8369366e-08  5.0356714e-08
  1.7936489e-01  1.4227292e-08 -4.6753828e-08  4.8870607e-08
  1.8751783e-01  1.4475953e-08 -4.5334518e-08  4.7589618e-08
  1.9567078e-01  1.4761912e-08 -4.4097802e-08  4.6503013e-08
  2.0382373e-01  1.5089343e-08 -4.3031941e-08  4.5600836e-08
  2.1197668e-01  1.5458531e-08 -4.2091992e-08  4.4840851e-08
  2.2012963e-01  1.5908690e-08 -4.1242307e-08  4.4204234e-08
  2.2828258e-01  1.6492069e-08 -4.0552032e-08  4.3777342e-08
  2.3643553e-01  1.7160607e-08 -4.0027457e-08  4.3550932e-08
  2.4458848e-01  1.7933217e-08 -3.9349345e-08  4.3243164e-08
  2.5274143e-01  1.8971651e-08 -3.8427516e-08  4.2855542e-08
  2.6089438e-01  2.0588263e-08 -3.8104436e-08  4.3310790e-08
  2.6904733e-01  2.2354788e-08 -3.8445139e-08  4.4472073e-08
  2.7720028e-01  2.4647366e-08 -3.7553694e-08  4.4919623e-08
  2.8535323e-01  2.9648237e-08 -3.6025595e-08  4.6656848e-08
  2.9350618e-01  3.5097135e-08 -3.9708594e-08  5.2996050e-08
  3.0165913e-01  4.0554917e-08 -4.7155319e-08  6.2195863e-08
  3.0981207e-01  4.3119258e-08 -4.8204019e-08  6.4675326e-08
  3.1796502e-01  5.4221908e-08 -4.6897453e-08  7.1689514e-08
  3.2611797e-01  6.5238257e-08 -6.2928177e-08  9.0642075e-08
  3.3427092e-01  5.5511270e-08 -9.1053118e-08  1.0664038e-07
  3.4242387e-01  5.8537022e-08 -8.9260914e-08  1.0674312e-07
  3.5057682e-01  4.6038491e-08 -8.7431528e-08  9.8812017e-08
  3.5872977e-01  4.3163338e-08 -9.7662428e-08  1.0677558e-07
  3.6688272e-01  1.2768842e-08 -1.0761962e-07  1.0837447e-07
  3.7503567e-01  5.3199180e-09 -9.3141292e-08  9.3293096e-08
  3.8318862e-01  3.0914456e-08 -6.6404708e-08  7.3248132e-08
  3.9134157e-01 -2.1374000e-08 -1.0344612e-07  1.0563119e-07
  3.9949452e-01 -3.9624841e-08 -7.4767490e-08  8.4618589e-08
  4.0764747e-01 -5.6277598e-08 -4.3703556e-08  7.1254255e-08
  4.1580042e-01 -1.2223787e-08 -2.2630818e-08  2.5721099e-08
  4.2395337e-01 -1.0952998e-08 -3.6159579e-08  3.7782050e-08
  4.3210631e-01 -6.0834590e-08 -8.2508957e-08  1.0251134e-07
  4.4025926e-01 -5.4443393e-08 -4.4503549e-08  7.0318198e-08
  4.4841221e-01 -8.6275920e-08 -8.2848921e-08  1.1961387e-07
  4.5656516e-01 -1.1970351e-07 -7.4410536e-08  1.4094629e-07
  4.6471811e-01 -1.9679691e-07 -8.1007392e-08  2.1281734e-07
  4.7287106e-01 -2.6886523e-07 -5.2982752e-08  2.7403591e-07
  4.8102401e-01 -3.2554089e-07  6.7950811e-08  3.3255704e-07
  4.8917696e-01 -3.3113623e-07  1.5578049e-07  3.6594913e-07
  4.9732991e-01 -2.5866274e-07  2.9197851e-07  3.9007418e-07
  5.0548286e-01 -1.7018019e-07  2.8196855e-07  3.2934414e-07
  5.1363581e-01 -1.2386176e-07  2.7332290e-07  3.0007856e-07
  5.2178876e-01 -1.5138825e-07  2.9737627e-07  3.3369304e-07
  5.2994171e-01 -1.3684662e-07  3.3172210e-07  3.5884056e-07
  5.3809466e-01 -8.3141699e-08  4.6265536e-07  4.7006651e-07
  5.4624761e-01  3.1586188e-08  4.7447852e-07  4.7552871e-07
  5.5440055e-01  1.7984321e-07  5.1365626e-07  5.4423004e-07
  5.6255350e-01  3.1878940e-07  4.6469751e-07  5.6353390e-07
  5.7070645e-01  4.4791726e-07  3.2285568e-07  5.5214642e-07
  5.7885940e-01  4.9552476e-07  2.4907264e-07  5.5460072e-07
  5.8701235e-01  5.2738918e-07  6.0833360e-08  5.3088609e-07
