Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  2.4588057e-09  0.0000000e+00  2.4588057e-09
  8.2504847e-03 -5.1575063e-08 -9.7974115e-10  5.1584368e-08
  1.6500969e-02 -5.1555020e-08 -1.9591577e-09  5.1592232e-08
  2.4751454e-02 -5.1521642e-08 -2.9379220e-09  5.1605339e-08
  3.3001939e-02 -5.1474966e-08 -3.9156998e-09  5.1623685e-08
  4.1252424e-02 -5.1415049e-08 -4.8921469e-09  5.1647268e-08
  4.9502908e-02 -5.1341962e-08 -5.8669053e-09  5.1676084e-08
  5.7753393e-02 -5.1255796e-08 -6.8395990e-09  5.1710122e-08
  6.6003878e-02 -5.1156662e-08 -7.8098286e-09  5.1749372e-08
  7.4254362e-02 -5.1044691e-08 -8.7771657e-09  5.1793813e-08
  8.2504847e-02 -5.0920039e-08 -9.7411459e-09  5.1843421e-08
  9.0755332e-02 -5.0782888e-08 -1.0701260e-08  5.1898157e-08
  9.9005817e-02 -5.0633451e-08 -1.1656944e-08  5.1957970e-08
  1.0725630e-01 -5.0471974e-08 -1.2607565e-08  5.2022792e-08
  1.1550679e-01 -5.0298744e-08 -1.3552406e-08  5.2092527e-08
  1.2375727e-01 -5.0114093e-08 -1.4490646e-08  5.2167050e-08
  1.3200776e-01 -4.9918413e-08 -1.5421338e-08  5.2246202e-08
  1.4025824e-01 -4.9712146e-08 -1.6343359e-08  5.2329751e-08
  1.4850872e-01 -4.9495952e-08 -1.7255263e-08  5.2417491e-08
  1.5675921e-01 -4.9270798e-08 -1.8155705e-08  5.2509439e-08
  1.6500969e-01 -4.9036922e-08 -1.9042519e-08  5.2604537e-08
  1.7326018e-01 -4.8797041e-08 -1.9912165e-08  5.2703372e-08
  1.8151066e-01 -4.8552150e-08 -2.0765308e-08  5.2806338e-08
  1.8976115e-01 -4.8298088e-08 -2.1591567e-08  5.2904641e-08
  1.9801163e-01 -4.8053406e-08 -2.2382164e-08  5.3010292e-08
  2.0626212e-01 -4.7805770e-08 -2.3145117e-08  5.3113916e-08
  2.1451260e-01 -4.7556869e-08 -2.3815875e-08  5.3186950e-08
  2.2276309e-01 -4.7374840e-08 -2.4392567e-08  5.3285766e-08
  2.3101357e-01 -4.7157562e-08 -2.4947908e-08  5.3350105e-08
  2.3926406e-01 -4.7042761e-08 -2.5278195e-08  5.3404199e-08
  2.4751454e-01 -4.7113431e-08 -2.5616348e-08  5.3627163e-08
  2.5576503e-01 -4.7165808e-08 -2.5991210e-08  5.3853100e-08
  2.6401551e-01 -4.7746268e-08 -2.5955269e-08  5.4345028e-08
  2.7226600e-01 -4.9248400e-08 -2.5910229e-08  5.5648404e-08
  2.8051648e-01 -5.0425484e-08 -2.3753396e-08  5.5740050e-08
  2.8876697e-01 -5.0188676e-08 -2.4010566e-08  5.5636413e-08
  2.9701745e-01 -5.0651564e-08 -2.6037185e-08  5.6951874e-08
