Index,Event,Station,Time,M_L,D,R
1,1,TMO55,2023.01.11-13:55:29,0.7,5,7.3035
2,1,TMO22,2023.01.11-13:55:29,0.7,5,5.1721
3,1,TMO20,2023.01.11-13:55:29,0.7,5,8.2915
4,1,INS8,2023.01.11-13:55:29,0.7,5,10.3534
5,1,INS1,2023.01.11-13:55:29,0.7,5,9.3079
6,2,TMO66,2023.01.10-19:02:01,0.7,7.9,10.3922
7,2,INSH,2023.01.10-19:02:01,0.7,7.9,2.342
8,2,INS6B,2023.01.10-19:02:01,0.7,7.9,7.8568
9,2,INS3,2023.01.10-19:02:01,0.7,7.9,6.4882
10,2,INS1,2023.01.10-19:02:01,0.7,7.9,6.4037
11,3,TMO66,2023.01.10-10:45:58,2,8.9,10.13
12,3,TMO55,2023.01.10-10:45:58,2,8.9,8.3737
13,3,TMO20,2023.01.10-10:45:58,2,8.9,7.5393
14,3,INS8,2023.01.10-10:45:58,2,8.9,11.9023
15,3,INS3,2023.01.10-10:45:58,2,8.9,8.3417
16,3,INS1,2023.01.10-10:45:58,2,8.9,7.6114
17,4,TMO55,2022.12.22-06:05:04,1.7,5,9.5429
18,4,TMO20,2022.12.22-06:05:04,1.7,5,8.3645
19,4,INS8,2022.12.22-06:05:04,1.7,5,13.058
20,4,INS3,2022.12.22-06:05:04,1.7,5,7.7209
21,4,INS1,2022.12.22-06:05:04,1.7,5,7.9147
22,5,TMO66,2022.12.17-07:24:35,1.9,5,10.5496
23,5,TMO55,2022.12.17-07:24:35,1.9,5,8.7127
24,5,TMO22,2022.12.17-07:24:35,1.9,5,7.46
25,5,TMO20,2022.12.17-07:24:35,1.9,5,7.9618
26,5,INS8,2022.12.17-07:24:35,1.9,5,12.1816
27,5,INS6B,2022.12.17-07:24:35,1.9,5,8.2586
28,5,INS1,2022.12.17-07:24:35,1.9,5,7.9483
29,6,TMO66,2022.11.28-17:38:35,0.5,7,9.1177
30,6,TMO55,2022.11.28-17:38:35,0.5,7,7.0516
31,6,TMO20,2022.11.28-17:38:35,0.5,7,6.8976
32,6,INS8,2022.11.28-17:38:35,0.5,7,10.5504
33,6,INS6B,2022.11.28-17:38:35,0.5,7,9.9205
34,6,INS1,2022.11.28-17:38:35,0.5,7,7.6845
35,7,TMO66,2022.11.19-03:59:04,0.8,6.1,11.3142
36,7,TMO55,2022.11.19-03:59:04,0.8,6.1,9.019
37,7,TMO22,2022.11.19-03:59:04,0.8,6.1,6.9887
38,7,TMO20,2022.11.19-03:59:04,0.8,6.1,8.9588
39,7,INS6B,2022.11.19-03:59:04,0.8,6.1,8.1523
40,7,INS3,2022.11.19-03:59:04,0.8,6.1,9.3287
41,7,INS1,2022.11.19-03:59:04,0.8,6.1,9.1283
42,8,INS8,2022.09.22-02:36:06,0.5,3.8,11.0712
43,8,INS6B,2022.09.22-02:36:06,0.5,3.8,9.482
44,8,INS4B,2022.09.22-02:36:06,0.5,3.8,3.9831
45,8,INS3,2022.09.22-02:36:06,0.5,3.8,8.7477
46,9,TMO66,2022.09.20-20:45:41,0.7,6,9.3803
47,9,TMO22,2022.09.20-20:45:41,0.7,6,7.0485
48,9,INSH,2022.09.20-20:45:41,0.7,6,2.3283
49,9,INS8,2022.09.20-20:45:41,0.7,6,11.2834
50,9,INS1,2022.09.20-20:45:41,0.7,6,7.2037
51,10,TMO66,2022.07.21-23:47:40,0.6,5,9.968
52,10,TMO55,2022.07.21-23:47:40,0.6,5,8.5975
53,10,TMO22,2022.07.21-23:47:40,0.6,5,8.0199
54,10,TMO20,2022.07.21-23:47:40,0.6,5,7.1499
55,10,INSH,2022.07.21-23:47:40,0.6,5,1.9118
56,10,INS8,2022.07.21-23:47:40,0.6,5,12.2635
57,10,INS6B,2022.07.21-23:47:40,0.6,5,8.4628
58,10,INS3,2022.07.21-23:47:40,0.6,5,7.6001
59,11,TMO66,2022.04.27-22:54:46,0.5,4,10.7869
60,11,TMO55,2022.04.27-22:54:46,0.5,4,8.8992
61,11,TMO22,2022.04.27-22:54:46,0.5,4,7.507
62,11,INS3,2022.04.27-22:54:46,0.5,4,8.4444
63,12,TMO55,2022.04.25-00:58:55,0.5,3.7,9.8801
64,12,TMO22,2022.04.25-00:58:55,0.5,3.7,8.4453
65,12,INS8,2022.04.25-00:58:55,0.5,3.7,13.3415
